order	mean	sd	month
13	0.11961887091504737	0.05586741227558431	6
14	0.1145138258296807	0.05494351663817972	6
15	0.10983758950659404	0.054077428959404886	6
16	0.10552354533031023	0.05325352989473033	6
17	0.10151916247399446	0.05246032004184352	6
18	0.09778221161158505	0.051689046664054446	6
19	0.09427817757528738	0.050932827199322475	6
20	0.09097844419837707	0.05018607315188261	6
1	0.9999999999999998	0.3557052377249901	7
2	0.3910267968945661	0.15792240608138938	7
3	0.28787730569312664	0.10286004040726364	7
4	0.2424520334053978	0.08142485725289553	7
5	0.21605830040825894	0.07203267368569569	7
6	0.1981014159806754	0.06753223043724367	7
7	0.1846372920594826	0.06513035916877466	7
8	0.17389726899452304	0.06372283845260004	7
9	0.16496437743859846	0.06283921606096861	7
10	0.1573070488389756	0.06225338522001675	7
11	0.15059098698363693	0.06184288085540122	7
12	0.14459330377998458	0.061535054443529885	7
13	0.1391588400220141	0.06128410425734975	7
14	0.1341759062393379	0.061059979338923896	7
15	0.12956187499366928	0.060842413146513306	7
16	0.1252541811208614	0.060617450264514566	7
17	0.12120447783178717	0.060375308162482204	7
18	0.11737472313590534	0.06010900693425468	7
19	0.11373449144450637	0.0598134642012743	7
20	0.11025908648275975	0.059484882724839865	7
1	1	0.34131126605613843	8
2	0.3585434797744209	0.16362928797112883	8
3	0.25388857708369184	0.10427035961845149	8
4	0.20898837290259653	0.0801861897349874	8
5	0.18324206922010883	0.06931935294659694	8
6	0.16586867458835733	0.0638446511771693	8
7	0.15294792186297987	0.060696960920611574	8
8	0.14273728316587192	0.058682029027829694	8
9	0.13432984826439487	0.057290901602594875	8
10	0.12719518957725923	0.056273809945934956	8
11	0.12099706387859832	0.05549150450930523	8
12	0.11551021346483067	0.054859289174829004	8
13	0.11057758133231906	0.054322786194237783	8
14	0.10608620254765752	0.05384580335622531	8
15	0.10195270140340008	0.05340356503065521	8
16	0.09811415341025197	0.052978672714109463	8
17	0.09452212747817264	0.052558596494825784	8
